from,to,dndsvalue
GCF_010093225.1,GCF_014199795.1,0.5229059649186099
GCA_002154585.1,GCA_021502835.1,0.5692503733712219
GCA_000434835.1,GCA_900771805.1,0.6514282417029283
GCA_013378385.1,GCA_002693165.1,0.5369972325774616
GCA_019410105.1,GCA_019118935.1,0.5880960414881823
GCA_021813525.1,GCA_021789455.1,0.7566768148500795
GCF_003339815.1,GCF_000210055.1,0.5725402180731618
GCA_023380955.1,GCA_021806765.1,0.5716460899273756
GCF_014638275.1,GCF_009789075.1,0.6568900089161669
GCA_021823045.1,GCA_021842145.1,0.5087933514093945
GCF_014287635.1,GCF_900537995.1,0.6296015894679334
GCA_000634415.1,GCA_902573335.1,0.6232576724824332
GCF_000510725.1,GCF_001043115.1,0.5226524749432535
GCA_902619485.1,GCA_902539895.1,0.5015137806120138
GCA_902789835.1,GCA_900317375.1,0.5517905734023953
GCF_024721115.1,GCF_900142185.1,0.6422479278572691
GCF_001418415.1,GCF_001419705.1,0.507366585195449
GCA_021787035.1,GCA_021798075.1,0.8783243192703333
GCA_003647525.1,GCA_019309665.1,0.6719832560949492
GCF_000722875.1,GCF_001757355.1,0.5020231984274333
GCA_004402895.1,GCA_022563775.1,0.5263700830877451
GCA_902522015.1,GCA_902539825.1,0.5898985759443444
GCA_003281285.1,GCA_902536555.1,0.5482013107675036
GCA_002067635.1,GCA_002067045.1,0.8013527921542016
GCA_014204745.1,GCA_021502835.1,0.5324178470007971
GCA_902575725.1,GCA_902542505.1,0.8017388139658617
GCA_003663525.1,GCA_003663535.1,0.7261388605612062
GCA_915066515.1,GCA_916438535.1,0.74442747521384
GCA_902575725.1,GCA_902588615.1,0.5299754336970643
GCF_000153045.1,GCF_000153805.1,0.6004556852796359
GCA_021826655.1,GCA_021806045.1,0.7705605762571832
GCF_010211755.1,GCF_017163755.1,0.5333912652932586
GCF_001279005.1,GCA_021502835.1,0.5819237099892545
GCF_000510725.1,GCF_024266585.1,0.5234143430115098
GCA_024235995.1,GCA_016703145.1,0.5502267630477458
GCA_902790525.1,GCA_902793325.1,0.5046195799800787
GCA_902517275.1,GCA_902514865.1,0.5535817429332395
GCF_000559025.1,GCF_000513995.1,0.5821005246778093
GCF_017163705.1,GCF_009496535.1,0.5464569503688141
GCF_000510725.1,GCF_021168555.1,0.566737345623329
GCA_013792055.1,GCA_019309665.1,0.5336809191394312
GCA_900554945.1,GCF_000024265.1,0.5445030349759301
GCF_002291145.1,GCA_021502835.1,0.6037526022216019
GCA_003336485.1,GCA_013180565.1,0.507498623610949
GCA_902576905.1,GCA_902581005.1,0.5421876611958061
GCA_021846065.1,GCA_021851335.1,0.7712586909015626
GCA_902615165.1,GCA_003281285.1,0.5520981718451228
GCF_000513955.1,GCF_017163705.1,0.5090437833218194
GCA_934191715.1,GCF_009494135.1,0.5465256416149776
GCF_011008945.1,GCA_021502835.1,0.6238855202214004
GCA_900764955.1,GCA_900540845.1,0.6452551378480051
GCA_002279065.1,GCF_001428405.1,0.5074655002260495
GCA_021568835.1,GCA_021502835.1,0.6061716009917965
GCF_003112595.1,GCA_021502835.1,0.7637993340708187
GCA_021151525.1,GCA_021151615.1,0.6359388336255212
GCA_000715635.1,GCF_002150735.1,0.547088217811989
GCA_003282885.1,GCA_003283875.1,0.5234039319337632
GCA_017523995.1,GCA_017545185.1,0.5235478954246455
GCF_003696305.1,GCF_900104805.1,0.5220792173852021
GCA_021803845.1,GCA_021791295.1,0.5341297460096653
GCA_019412865.1,GCA_900557355.1,0.6164023960084216
GCA_902575725.1,GCA_902595525.1,0.559317240335083
GCF_003205495.1,GCF_900109175.1,0.5415330383704543
GCA_902573045.1,GCA_902550485.1,0.5202280747374329
GCA_900169505.1,GCF_000210055.1,0.552729140757624
GCA_000634415.1,GCA_902572075.1,0.5002415576214149
GCF_001418415.1,GCA_021502835.1,0.6006914704252997
GCA_019310725.1,GCA_020351915.1,0.5634619321492713
GCA_902622475.1,GCA_902539825.1,0.6133791513647288
GCA_902622475.1,GCA_902613275.1,0.5387564206320694
GCA_021805685.1,GCA_021798675.1,1.604269905966809
GCA_900754605.1,GCF_005121165.3,1.5154433248614894
GCA_021850345.1,GCA_021810205.1,1.5920909593779933
GCA_021826835.1,GCA_021833045.1,1.6180121884013996
GCA_021799405.1,GCA_021810735.1,1.5760108181320933
GCA_021797955.1,GCA_021790415.1,1.8635861801128217
GCA_021806345.1,GCA_021826835.1,1.546740162485809
GCA_000405345.1,GCA_000405605.1,1.9408821099848717
GCF_900091655.1,GCF_000296465.1,1.7533661219386294
GCA_023379515.1,GCA_023484045.1,1.782027592458534
GCA_021816385.1,GCA_021819225.1,1.88072771289994
GCA_023489375.1,GCA_021803885.1,1.6486023245696915
GCA_021852275.1,GCA_021803885.1,1.8393596899064606
GCA_000438155.1,GCA_900753715.1,1.5018583519180988
GCA_021811745.1,GCA_021801945.1,1.5470809702571087
GCA_900758315.1,GCA_019417795.1,1.5450986570576797
GCA_021816955.1,GCA_021827545.1,1.9770187088881426
