query_name,match_name,dN.dS
GCF_900106535.1,GCF_013116825.1,0.574896266643002
GCF_900106535.1,GCF_010894435.1,0.265537495029369
GCF_900106535.1,GCF_010894475.1,0.463810139026361
GCF_900106535.1,GCF_010894405.1,0.258184342366835
GCF_900106535.1,GCF_900101905.1,0.630408653384723
GCF_900106535.1,GCF_006402735.1,0.588548329055327
GCF_900106535.1,GCF_010998615.1,0.592764845306428
GCF_900106535.1,GCF_020037125.1,0.289627925112122
GCF_000233435.1,GCF_003268615.1,0.64805725185801
GCF_000233435.1,GCF_003226855.1,0.629047125199785
GCF_000233435.1,GCF_000236405.1,0.767068829513726
GCF_002305895.1,GCF_900106535.1,0.356442986164273
GCF_002305895.1,GCF_013116825.1,0.364281446785922
GCF_002305895.1,GCF_010894435.1,0.243092631196919
GCF_002305895.1,GCF_010894475.1,0.387285397840334
GCF_002305895.1,GCF_010894405.1,0.233303639123989
GCF_002305895.1,GCF_006636215.1,0.226796035029446
GCF_002305895.1,GCF_900101905.1,0.358485715694225
GCF_002305895.1,GCF_006402735.1,0.356658223222956
GCF_002305895.1,GCF_010998615.1,0.351128260228017
GCF_002305895.1,GCF_020037125.1,0.261854067913241
GCF_003226855.1,GCF_000236405.1,0.958126781988483
GCF_000009605.1,GCF_000225445.1,0.744138001616485
GCF_000022605.2,GCF_014251755.1,0.946237024549727
GCF_000022605.2,GCF_014251715.1,0.813282079206496
GCF_000022605.2,GCF_014251995.1,0.920766247852787
GCF_000022605.2,GCF_014251555.1,0.973691177614779
GCF_000022605.2,GCF_014251575.1,0.837364473388408
GCF_000022605.2,GCF_014251815.1,0.751069426619146
GCF_000022605.2,GCF_014251315.1,0.736350485888508
GCF_000022605.2,GCF_014251695.1,0.727918824458007
GCF_000022605.2,GCF_014251635.1,0.839169259748147
GCF_000022605.2,GCF_014251335.1,0.718977487670359
GCF_000022605.2,GCF_014251795.1,0.82096398315281
GCF_000022605.2,GCF_014251595.1,0.765628661754494
GCF_000022605.2,GCF_014252255.1,0.726865667840824
GCF_000022605.2,GCF_014252015.1,0.858944288005566
GCF_000022605.2,GCF_014252295.1,0.773381824228302
GCF_000022605.2,GCF_014252075.1,0.963307057458556
GCF_000022605.2,GCF_011290385.1,0.777029745490672
GCF_000022605.2,GCF_000262715.1,0.767449779510096
GCF_000022605.2,GCF_000471965.1,0.721117628245193
GCF_000280925.3,GCA_023426545.1,0.309783185293804
GCF_000280925.3,GCF_024198175.1,0.258174361214005
GCF_000280925.3,GCF_017301735.1,0.24768678677978
GCF_000280925.3,GCF_012933655.1,0.248775225206504
GCF_000280925.3,GCF_002305895.1,0.323923193618662
GCF_000280925.3,GCF_900106535.1,0.369797142160452
GCF_000280925.3,GCF_013116825.1,0.356329884974198
GCF_000280925.3,GCF_010894435.1,0.260513889470144
GCF_000280925.3,GCF_010894475.1,0.341945229234943
GCF_000280925.3,GCF_010894405.1,0.250507608512372
GCF_000280925.3,GCF_900101905.1,0.360715122482464
GCF_000280925.3,GCF_006402735.1,0.364087027752222
GCF_000280925.3,GCF_010998615.1,0.359300357943017
GCF_000280925.3,GCF_020037125.1,0.2797383045333
GCF_006402735.1,GCF_010998615.1,0.584858381859183
GCF_006402735.1,GCF_020037125.1,0.284987526965978
GCF_900101905.1,GCF_006402735.1,0.550739430614025
GCF_900101905.1,GCF_010998615.1,0.636185477592597
GCF_900101905.1,GCF_020037125.1,0.281953572923614
GCF_000348805.1,GCF_000022605.2,0.83275084795229
GCF_000348805.1,GCF_014251755.1,1.28966754951663
GCF_000348805.1,GCF_014251715.1,0.868748666422582
GCF_000348805.1,GCF_014251555.1,0.734819907340895
GCF_000348805.1,GCF_014251575.1,0.674337987698728
GCF_000348805.1,GCF_014251815.1,0.709604277710106
GCF_000348805.1,GCF_014251315.1,0.780379698421858
GCF_000348805.1,GCF_014251695.1,0.759329516853709
GCF_000348805.1,GCF_014251635.1,0.772703015527103
GCF_000348805.1,GCF_014251335.1,0.933934130927657
GCF_000348805.1,GCF_014251795.1,0.910912986530117
GCF_000348805.1,GCF_014251595.1,0.815435870983677
GCF_000348805.1,GCF_014252115.1,0.812530344729921
GCF_000348805.1,GCF_014252015.1,0.759605726480444
GCF_000348805.1,GCF_014252075.1,0.795521843213112
GCF_000348805.1,GCF_011290385.1,0.615752779421416
GCF_000348805.1,GCF_000262715.1,0.746511902116913
GCF_000348805.1,GCF_003573915.1,0.837957346341925
GCF_000348805.1,GCF_000471965.1,0.706470189373018
GCF_006546835.1,GCF_006546825.1,0.476988546477197
GCF_006546835.1,GCF_900637975.1,0.515817549203526
GCF_006546835.1,GCF_900323545.1,0.516107599627345
GCF_006546825.1,GCF_900637975.1,0.506653361377894
GCF_006546825.1,GCF_900323545.1,0.516680308623045
GCF_001956585.1,GCF_001929375.1,0.549344947066266
GCF_001956585.1,GCF_001937665.1,0.584339438172801
GCF_001956585.1,GCF_001937445.1,0.572759536762573
GCF_001956585.1,GCF_001553935.1,0.529861008718954
GCF_001956585.1,GCF_005696555.1,0.550167802598683
GCF_001956585.1,GCF_011752065.1,0.537079558686713
GCF_001956585.1,GCF_000195595.1,0.54196942499156
GCF_001956585.1,GCF_006546835.1,0.519466894838744
GCF_001956585.1,GCF_006546825.1,0.572177058817816
GCF_001956585.1,GCF_900637975.1,0.541923331230151
GCF_001956585.1,GCF_900323545.1,0.546652283739225
