from,to,dndsvalue,root_from,superkingdom_from,phylum_from,class_from,order_from,family_from,genus_from,species_from,root_to,superkingdom_to,phylum_to,class_to,order_to,family_to,genus_to,species_to
GCA_002849045.2,GCA_003575245.1,0.817211367321852,Root,Bacteria,Atribacterota,JS1,SB-45,34-128,34-128,34-128 sp002849045,Root,Bacteria,Atribacterota,JS1,SB-45,34-128,34-128,34-128 sp003575245
GCA_000405345.1,GCA_018894595.1,0.830267569694618,Root,Bacteria,Atribacterota,JS1,SB-45,34-128,34-128,34-128 sp000405345,Root,Bacteria,Atribacterota,JS1,SB-45,34-128,34-128,34-128 sp018894595
GCA_000405345.1,GCA_018819665.1,0.891909847210918,Root,Bacteria,Atribacterota,JS1,SB-45,34-128,34-128,34-128 sp000405345,Root,Bacteria,Atribacterota,JS1,SB-45,34-128,34-128,34-128 sp018819665
GCA_021841985.1,GCA_021801255.1,0.875451718058037,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidibrevibacterium,Acidibrevibacterium sp021841985,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidibrevibacterium,Acidibrevibacterium sp021801255
GCA_021828445.1,GCA_021781285.1,0.844029177670967,Root,Bacteria,SZUA-79,SZUA-79,Acidulodesulfobacterales,Acidulodesulfobacteraceae,Acidulodesulfobacterium_A,Acidulodesulfobacterium_A sp021828445,Root,Bacteria,SZUA-79,SZUA-79,Acidulodesulfobacterales,Acidulodesulfobacteraceae,Acidulodesulfobacterium_A,Acidulodesulfobacterium_A sp021781285
GCA_021803845.1,GCA_021806125.1,0.948853891094851,Root,Bacteria,SZUA-79,SZUA-79,Acidulodesulfobacterales,Acidulodesulfobacteraceae,Acidulodesulfobacterium_A,Acidulodesulfobacterium_A sp021803845,Root,Bacteria,SZUA-79,SZUA-79,Acidulodesulfobacterales,Acidulodesulfobacteraceae,Acidulodesulfobacterium_A,Acidulodesulfobacterium_A sp021806125
GCA_021822485.1,GCA_021803845.1,0.935704970919313,Root,Bacteria,SZUA-79,SZUA-79,Acidulodesulfobacterales,Acidulodesulfobacteraceae,Acidulodesulfobacterium_A,Acidulodesulfobacterium_A sp021822485,Root,Bacteria,SZUA-79,SZUA-79,Acidulodesulfobacterales,Acidulodesulfobacteraceae,Acidulodesulfobacterium_A,Acidulodesulfobacterium_A sp021803845
GCF_017874475.1,GCF_000307225.1,0.891716984268763,Root,Bacteria,Bacillota_A,Clostridia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus degeneri,Root,Bacteria,Bacillota_A,Clostridia,Tissierellales,Peptoniphilaceae,Anaerococcus,Anaerococcus vaginalis_B
GCF_001640365.1,GCF_013460135.1,0.945178058767013,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Arsenophonus,Arsenophonus triatominarum,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Arsenophonus,Arsenophonus sp000757905
GCA_017994115.1,GCA_022706825.1,0.825780461493273,Root,Bacteria,Bacillota_A,Clostridia,Lutisporales,Lutisporaceae,BRH-c25,BRH-c25 sp017994115,Root,Bacteria,Bacillota_A,Clostridia,Lutisporales,Lutisporaceae,BRH-c25,BRH-c25 sp022706825
GCA_018725425.1,GCA_018725455.1,0.844246414195775,Root,Bacteria,Chloroflexota,Dehalococcoidia,SZUA-161,SpSt-899,BS503,BS503 sp018725425,Root,Bacteria,Chloroflexota,Dehalococcoidia,SZUA-161,SpSt-899,BS503,BS503 sp018725455
GCF_000172175.1,GCA_900557355.1,0.91476089223465,Root,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides intestinalis,Root,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp900557355
GCA_019412865.1,GCA_900555635.1,0.804224369716395,Root,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp019412865,Root,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp900555635
