from,to,dndsvalue,root_from,superkingdom_from,phylum_from,class_from,order_from,family_from,genus_from,species_from,root_to,superkingdom_to,phylum_to,class_to,order_to,family_to,genus_to,species_to,taxon_from,taxon_to
GCF_010093225.1,GCF_014199795.1,0.5229059649186099,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas koreensis,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas_A,Xanthomonas_A sp014199795,Xanthomonadaceae,Xanthomonadaceae
GCA_002154585.1,GCA_021502835.1,0.5692503733712219,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces pseudogriseolus,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces thinghirensis,Streptomycetaceae,Streptomycetaceae
GCA_000434835.1,GCA_900771805.1,0.6514282417029283,Root,Bacteria,Bacillota,Bacilli,RF39,UBA660,Aphodocola,Aphodocola sp000434835,Root,Bacteria,Bacillota,Bacilli,RF39,UBA660,Aphodocola,Aphodocola sp900771805,UBA660,UBA660
GCA_013378385.1,GCA_002693165.1,0.5369972325774616,Root,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,UBA57,UBA57,UBA57 sp013378385,Root,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,UBA57,UBA57,UBA57 sp002693165,UBA57,UBA57
GCA_019410105.1,GCA_019118935.1,0.5880960414881823,Root,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,DXTB01,DXTB01 sp019410105,Root,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,Dysosmobacter pullicola,Oscillospiraceae,Oscillospiraceae
GCA_021813525.1,GCA_021789455.1,0.7566768148500795,Root,Bacteria,SZUA-79,SZUA-79,Acidulodesulfobacterales,Acidulodesulfobacteraceae,Acidulodesulfobacterium_A,Acidulodesulfobacterium_A sp021813525,Root,Bacteria,SZUA-79,SZUA-79,Acidulodesulfobacterales,Acidulodesulfobacteraceae,Acidulodesulfobacterium_A,Acidulodesulfobacterium_A sp021789455,Acidulodesulfobacteraceae,Acidulodesulfobacteraceae
GCF_003339815.1,GCF_000210055.1,0.5725402180731618,Root,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Eggerthella,Eggerthella sinensis,Root,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Gordonibacter,Gordonibacter pamelaeae,Eggerthellaceae,Eggerthellaceae
GCA_023380955.1,GCA_021806765.1,0.5716460899273756,Root,Bacteria,Chloroflexota,UBA6077,UBA6077,UBA6077,JAJYNT01,JAJYNT01 sp023380955,Root,Bacteria,Chloroflexota,UBA6077,UBA6077,UBA6077,JAJYNT01,JAJYNT01 sp021806765,UBA6077,UBA6077
GCF_014638275.1,GCF_009789075.1,0.6568900089161669,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudooceanicola,Pseudooceanicola flagellatus_A,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudooceanicola,Pseudooceanicola pacificus,Rhodobacteraceae,Rhodobacteraceae
GCA_021823045.1,GCA_021842145.1,0.5087933514093945,Root,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,JABEUN01,JABEUN01 sp021823045,Root,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,JABEUN01,JABEUN01 sp021842145,Acidimicrobiaceae,Acidimicrobiaceae
GCF_014287635.1,GCF_900537995.1,0.6296015894679334,Root,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,1XD42-69,1XD42-69 sp014287635,Root,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia intestinalis,Lachnospiraceae,Lachnospiraceae
GCA_000634415.1,GCA_902573335.1,0.6232576724824332,Root,Bacteria,Cyanobacteriota,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000634415,Root,Bacteria,Cyanobacteriota,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp902573335,Cyanobiaceae,Cyanobiaceae
GCF_000510725.1,GCF_001043115.1,0.5226524749432535,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas sp000510725,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas_A,Xanthomonas_A sp001043115,Xanthomonadaceae,Xanthomonadaceae
GCA_902619485.1,GCA_902539895.1,0.5015137806120138,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Puniceispirillales,AAA536-G10,AAA536-G10,AAA536-G10 sp902619485,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Puniceispirillales,AAA536-G10,AAA536-G10,AAA536-G10 sp902539895,AAA536-G10,AAA536-G10
GCA_902789835.1,GCA_900317375.1,0.5517905734023953,Root,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Limivicinus,Limivicinus sp902789835,Root,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Limivicinus,Limivicinus sp900317375,Oscillospiraceae,Oscillospiraceae
GCF_024721115.1,GCF_900142185.1,0.6422479278572691,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Salipiger,Salipiger sp024721115,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Lutimaribacter,Lutimaribacter pacificus,Rhodobacteraceae,Rhodobacteraceae
GCF_001418415.1,GCF_001419705.1,0.507366585195449,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces hirsutus,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces prasinus,Streptomycetaceae,Streptomycetaceae
GCA_021787035.1,GCA_021798075.1,0.8783243192703333,Root,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Palsa-688,JAJZYO01,JAJZYO01 sp021787035,Root,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Palsa-688,JAJZYO01,JAJZYO01 sp021798075,Palsa-688,Palsa-688
GCA_003647525.1,GCA_019309665.1,0.6719832560949492,Root,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,ETH-SRB1,B13-G4,B13-G4 sp003647525,Root,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,ETH-SRB1,B13-G4,B13-G4 sp019309665,ETH-SRB1,ETH-SRB1
GCF_000722875.1,GCF_001757355.1,0.5020231984274333,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium chlorophenolicum,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium phenoxybenzoativorans,Sphingomonadaceae,Sphingomonadaceae
GCA_004402895.1,GCA_022563775.1,0.5263700830877451,Root,Bacteria,Marinisomatota,SORT01,SORT01,SORT01,SORT01,SORT01 sp004402895,Root,Bacteria,Marinisomatota,SORT01,SORT01,SORT01,SORT01,SORT01 sp022563775,SORT01,SORT01
GCA_902522015.1,GCA_902539825.1,0.5898985759443444,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,HIMB59,GCA-002718135,AG-337-I02,AG-337-I02 sp902522015,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,HIMB59,GCA-002718135,AG-337-I02,AG-337-I02 sp902539825,GCA-002718135,GCA-002718135
GCA_003281285.1,GCA_902536555.1,0.5482013107675036,Root,Bacteria,Cyanobacteriota,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp003281285,Root,Bacteria,Cyanobacteriota,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp902536555,Cyanobiaceae,Cyanobiaceae
GCA_002067635.1,GCA_002067045.1,0.8013527921542016,Root,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,UBA6,UBA6 sp002067635,Root,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,UBA472,UBA472,UBA472 sp002067045,Methanomassiliicoccaceae,UBA472
GCA_014204745.1,GCA_021502835.1,0.5324178470007971,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces collinus,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces thinghirensis,Streptomycetaceae,Streptomycetaceae
GCA_902575725.1,GCA_902542505.1,0.8017388139658617,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,HIMB59,HIMB59,HIMB59,HIMB59 sp902575725,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,HIMB59,HIMB59,HIMB59,HIMB59 sp902542505,HIMB59,HIMB59
GCA_003663525.1,GCA_003663535.1,0.7261388605612062,Root,Archaea,Methanobacteriota_B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus_A,Thermococcus_A sp003663525,Root,Archaea,Methanobacteriota_B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus_A,Thermococcus_A sp003663535,Thermococcaceae,Thermococcaceae
GCA_915066515.1,GCA_916438535.1,0.74442747521384,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Neisseria sp915066515,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Neisseria sp916438535,Neisseriaceae,Neisseriaceae
GCA_902575725.1,GCA_902588615.1,0.5299754336970643,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,HIMB59,HIMB59,HIMB59,HIMB59 sp902575725,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,HIMB59,HIMB59,HIMB59,HIMB59 sp902588615,HIMB59,HIMB59
GCF_000153045.1,GCF_000153805.1,0.6004556852796359,Root,Bacteria,Cyanobacteriota,Cyanobacteriia,PCC-6307,Cyanobiaceae,WH-5701,WH-5701 sp000153045,Root,Bacteria,Cyanobacteriota,Cyanobacteriia,PCC-6307,Cyanobiaceae,Parasynechococcus,Parasynechococcus sp000153805,Cyanobiaceae,Cyanobiaceae
