from,to,dndsvalue
GCA_000634415.1,GCA_902595175.1,0.4236198105778855
GCF_001625365.1,GCF_000719705.1,0.4045866749454325
GCF_001431425.1,GCF_017163755.1,0.515276054525663
GCA_902618795.1,GCA_902572395.1,0.45225099118654394
GCA_944387725.1,GCA_019115345.1,0.47052869638256445
GCF_001428685.1,GCF_900106525.1,0.41623720584241225
GCA_002279065.1,GCF_003148905.1,0.4462793235675819
GCA_003505795.1,GCF_007667275.1,0.4716705239083339
GCA_001449105.1,GCA_903900155.1,0.47106201555551114
GCF_900187975.1,GCF_024451105.1,0.49595622540011997
GCF_014649755.1,GCF_900105415.1,0.4021079122351231
GCA_913062595.1,GCA_004124535.1,0.8256640103656414
GCF_000696185.1,GCF_024172095.1,0.40501418029051006
GCA_902574955.1,GCA_902535185.1,0.4424937555118835
GCF_019655855.1,GCF_018398425.1,0.404619102899907
GCA_900764955.1,GCA_900540845.1,0.6452551378480051
GCA_021849765.1,GCA_021777285.1,0.5132722934304487
GCA_000715605.1,GCF_000225525.1,0.40970077146739325
GCA_000715605.1,GCF_003665435.1,0.44869049001761463
GCA_900553855.1,GCA_934096815.1,0.4578489927277162
GCA_902539895.1,GCA_902542765.1,0.522492282951417
GCF_013620825.1,GCF_000264375.1,0.4800649768902095
GCA_021849435.1,GCA_021777285.1,0.5731235407716131
GCA_902618795.1,GCA_902536555.1,0.41584438492265663
GCA_024710965.1,GCF_000310185.1,0.4023813059731056
GCA_023445955.1,GCF_003116815.1,0.4564227926868977
GCA_000715635.1,GCF_014202475.1,0.5029472644601097
GCA_902572945.1,GCA_902632275.1,0.42161718790944863
GCF_001431505.1,GCF_024519465.1,0.4177204205120987
GCF_002940085.1,GCF_010093225.1,0.5304197249477174
GCA_019414725.1,GCF_013009555.1,0.4532778471591882
GCA_902777335.1,GCA_900317565.1,0.5755179435927513
GCA_000715605.1,GCA_013364255.1,0.42836822409186154
GCA_902799955.1,GCA_902761035.1,0.5004690455179822
GCA_003487665.1,GCA_934591815.1,0.4564500469147032
GCA_902576905.1,GCA_902596985.1,0.4309625349790258
GCF_014638275.1,GCF_009789075.1,0.6568900089161669
GCA_902595175.1,GCA_902564235.1,0.4088393451443149
GCA_007858575.1,GCF_008639165.1,0.4680267263753482
GCF_001431425.1,GCF_000284595.1,0.46607786722724626
GCF_020103755.1,GCF_001188955.3,0.41981222680330726
GCF_014297355.1,GCF_003477525.1,0.4039996771160579
GCA_902530715.1,GCA_902599575.1,0.42161063310691127
GCA_000635535.1,GCA_003211415.1,0.422808585134674
GCA_003484545.1,GCF_000315425.1,0.40199846053849136
GCA_015277795.1,GCF_000315425.1,0.4032358099066241
GCA_934646815.1,GCA_934621885.1,0.42954041063991116
GCF_014395425.1,GCF_006337105.1,0.4299405985882982
